,name,mfr,type,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,shelf,weight,cups,rating
0,100%_Natural_Bran,Q,C,120,3.0,5.0,15.0,2.0,8.0,8.0,135.0,25.0,3,1.0,1.0,33.983679
1,All-Bran,K,C,70,4.0,1.0,260.0,1.75,7.0,5.0,90.0,25.0,3,1.0,0.33,59.425505
2,All-Bran_with_Extra_Fiber,K,C,50,4.0,0.0,140.0,1.75,8.0,0.0,90.0,25.0,3,1.0,0.5,93.704912
3,Almond_Delight,R,C,110,2.0,2.0,200.0,1.0,14.0,8.0,96.21621621621621,25.0,3,1.0,0.75,34.384843
4,Apple_Cinnamon_Cheerios,G,C,110,2.0,2.0,180.0,1.5,10.5,10.0,70.0,25.0,1,1.0,0.75,29.509541
5,Apple_Jacks,K,C,110,2.0,0.0,125.0,1.0,11.0,14.0,30.0,25.0,2,1.0,1.0,33.174094
6,Basic_4,G,C,130,3.0,2.0,210.0,2.0,18.0,8.0,100.0,25.0,3,1.33,0.75,37.038562
7,Bran_Chex,R,C,90,2.0,1.0,200.0,4.0,15.0,6.0,125.0,25.0,1,1.0,0.67,49.120253
8,Bran_Flakes,P,C,90,3.0,0.0,210.0,5.0,13.0,5.0,190.0,25.0,3,1.0,0.67,53.313813
9,Cap'n'Crunch,Q,C,120,1.0,2.0,220.0,0.0,12.0,12.0,35.0,25.0,2,1.0,0.75,18.042851
10,Cheerios,G,C,110,2.5,2.0,290.0,2.0,17.0,1.0,105.0,25.0,1,1.0,1.25,50.764999
11,Cinnamon_Toast_Crunch,G,C,120,1.0,3.0,210.0,0.0,13.0,9.0,45.0,25.0,2,1.0,0.75,19.823573
12,Clusters,G,C,110,3.0,2.0,140.0,2.0,13.0,7.0,105.0,25.0,3,1.0,0.5,40.400208
13,Cocoa_Puffs,G,C,110,1.0,1.0,180.0,0.0,12.0,13.0,55.0,25.0,2,1.0,1.0,22.736446
14,Corn_Chex,R,C,110,2.0,0.0,280.0,0.0,22.0,3.0,25.0,25.0,1,1.0,1.0,41.445019
15,Corn_Flakes,K,C,100,2.0,0.0,290.0,1.0,21.0,2.0,35.0,25.0,1,1.0,1.0,45.863324
16,Corn_Pops,K,C,110,1.0,0.0,90.0,1.0,13.0,12.0,20.0,25.0,2,1.0,1.0,35.782791
17,Count_Chocula,G,C,110,1.0,1.0,180.0,0.0,12.0,13.0,65.0,25.0,2,1.0,1.0,22.396513
18,Cracklin'_Oat_Bran,K,C,110,3.0,3.0,140.0,4.0,10.0,7.0,160.0,25.0,3,1.0,0.5,40.448772
19,Cream_of_Wheat_(Quick),N,H,100,3.0,0.0,80.0,1.0,21.0,0.0,96.21621621621621,25.0,2,1.0,1.0,64.533816
20,Crispix,K,C,110,2.0,0.0,220.0,1.0,21.0,3.0,30.0,25.0,3,1.0,1.0,46.895644
21,Crispy_Wheat_&amp;_Raisins,G,C,100,2.0,1.0,140.0,2.0,11.0,10.0,120.0,25.0,3,1.0,0.75,36.176196
22,Double_Chex,R,C,100,2.0,0.0,190.0,1.0,18.0,5.0,80.0,25.0,3,1.0,0.75,44.330856
23,Froot_Loops,K,C,110,2.0,1.0,125.0,1.0,11.0,13.0,30.0,25.0,2,1.0,1.0,32.207582
24,Frosted_Flakes,K,C,110,1.0,0.0,200.0,1.0,14.0,11.0,25.0,25.0,1,1.0,0.75,31.435973
25,Frosted_Mini-Wheats,K,C,100,3.0,0.0,180.0,3.0,14.0,7.0,100.0,25.0,2,1.0,0.8,58.345141
26,"Fruit_&amp;_Fibre_Dates,_Walnuts,_and_Oats",P,C,120,3.0,2.0,160.0,5.0,12.0,10.0,200.0,25.0,3,1.25,0.67,40.917047
27,Fruitful_Bran,K,C,120,3.0,0.0,240.0,5.0,14.0,12.0,190.0,25.0,3,1.33,0.67,41.015492
28,Fruity_Pebbles,P,C,110,1.0,1.0,135.0,0.0,13.0,12.0,25.0,25.0,2,1.0,0.75,28.025765
29,Golden_Crisp,P,C,100,2.0,0.0,45.0,0.0,11.0,15.0,40.0,25.0,1,1.0,0.88,35.252444
30,Golden_Grahams,G,C,110,1.0,1.0,280.0,0.0,15.0,9.0,45.0,25.0,2,1.0,0.75,23.804043
31,Grape_Nuts_Flakes,P,C,100,3.0,1.0,140.0,3.0,15.0,5.0,85.0,25.0,3,1.0,0.88,52.076897
32,Grape-Nuts,P,C,110,3.0,0.0,170.0,3.0,17.0,3.0,90.0,25.0,3,1.0,0.25,53.371007
33,Great_Grains_Pecan,P,C,120,3.0,3.0,75.0,3.0,13.0,4.0,100.0,25.0,3,1.0,0.33,45.811716
34,Honey_Graham_Ohs,Q,C,120,1.0,2.0,220.0,1.0,12.0,11.0,45.0,25.0,2,1.0,1.0,21.871292
35,Honey_Nut_Cheerios,G,C,110,3.0,1.0,250.0,1.5,11.5,10.0,90.0,25.0,1,1.0,0.75,31.072217
36,Honey-comb,P,C,110,1.0,0.0,180.0,0.0,14.0,11.0,35.0,25.0,1,1.0,1.33,28.742414
37,Just_Right_Crunchy__Nuggets,K,C,110,2.0,1.0,170.0,1.0,17.0,6.0,60.0,25.0,3,1.0,1.0,36.523683
38,Just_Right_Fruit_&amp;_Nut,K,C,140,3.0,1.0,170.0,2.0,20.0,9.0,95.0,25.0,3,1.3,0.75,36.471512
39,Kix,G,C,110,2.0,1.0,260.0,0.0,21.0,3.0,40.0,25.0,2,1.0,1.5,39.241114
40,Life,Q,C,100,4.0,2.0,150.0,2.0,12.0,6.0,95.0,25.0,2,1.0,0.67,45.328074
41,Lucky_Charms,G,C,110,2.0,1.0,180.0,0.0,12.0,12.0,55.0,25.0,2,1.0,1.0,26.734515
42,Maypo,A,H,100,4.0,1.0,180.0,0.0,16.0,3.0,95.0,25.0,2,1.0,1.0,54.850917
43,"Muesli_Raisins,_Dates,_&amp;_Almonds",R,C,150,4.0,3.0,95.0,3.0,16.0,11.0,170.0,25.0,3,1.0,1.0,37.136863
44,"Muesli_Raisins,_Peaches,_&amp;_Pecans",R,C,150,4.0,3.0,150.0,3.0,16.0,11.0,170.0,25.0,3,1.0,1.0,34.139765
45,Mueslix_Crispy_Blend,K,C,160,3.0,2.0,150.0,3.0,17.0,13.0,160.0,25.0,3,1.5,0.67,30.313351
46,Multi-Grain_Cheerios,G,C,100,2.0,1.0,220.0,2.0,15.0,6.0,90.0,25.0,1,1.0,1.0,40.105965
47,Nut&amp;Honey_Crunch,K,C,120,2.0,1.0,190.0,0.0,15.0,9.0,40.0,25.0,2,1.0,0.67,29.924285
48,Nutri-Grain_Almond-Raisin,K,C,140,3.0,2.0,220.0,3.0,21.0,7.0,130.0,25.0,3,1.33,0.67,40.69232
49,Nutri-grain_Wheat,K,C,90,3.0,0.0,170.0,3.0,18.0,2.0,90.0,25.0,3,1.0,1.0,59.642837
50,Oatmeal_Raisin_Crisp,G,C,130,3.0,2.0,170.0,1.5,13.5,10.0,120.0,25.0,3,1.25,0.5,30.450843
51,Post_Nat._Raisin_Bran,P,C,120,3.0,1.0,200.0,6.0,11.0,14.0,90.0,25.0,3,1.33,0.67,37.840594
52,Product_19,K,C,100,3.0,0.0,320.0,1.0,20.0,3.0,45.0,25.0,3,1.0,1.0,41.50354
53,Puffed_Rice,Q,C,50,1.0,0.0,180.0,0.0,13.0,0.0,15.0,25.0,3,0.5,1.0,60.756112
54,Puffed_Wheat,Q,C,50,2.0,0.0,180.0,1.0,10.0,0.0,50.0,25.0,3,0.5,1.0,63.005645
55,Quaker_Oat_Squares,Q,C,100,4.0,1.0,135.0,2.0,14.0,6.0,110.0,25.0,3,1.0,0.5,49.511874
56,Quaker_Oatmeal,Q,H,100,2.5,2.0,180.0,2.7,14.933333333333334,7.04,110.0,25.0,1,1.0,0.67,50.828392
57,Raisin_Bran,K,C,120,3.0,1.0,210.0,5.0,14.0,12.0,90.0,25.0,2,1.33,0.75,39.259197
58,Raisin_Nut_Bran,G,C,100,3.0,2.0,140.0,2.5,10.5,8.0,140.0,25.0,3,1.0,0.5,39.7034
59,Raisin_Squares,K,C,90,2.0,0.0,180.0,2.0,15.0,6.0,110.0,25.0,3,1.0,0.5,55.333142
60,Rice_Chex,R,C,110,1.0,0.0,240.0,0.0,23.0,2.0,30.0,25.0,1,1.0,1.13,41.998933
61,Rice_Krispies,K,C,110,2.0,0.0,290.0,0.0,22.0,3.0,35.0,25.0,1,1.0,1.0,40.560159
62,Shredded_Wheat,N,C,80,2.0,0.0,180.0,3.0,16.0,0.0,95.0,25.0,1,0.83,1.0,68.235885
63,Shredded_Wheat_'n'Bran,N,C,90,3.0,0.0,180.0,4.0,19.0,0.0,140.0,25.0,1,1.0,0.67,74.472949
64,Shredded_Wheat_spoon_size,N,C,90,3.0,0.0,180.0,3.0,20.0,0.0,120.0,25.0,1,1.0,0.67,72.801787
65,Smacks,K,C,110,2.0,1.0,70.0,1.0,9.0,15.0,40.0,25.0,2,1.0,0.75,31.230054
66,Special_K,K,C,110,2.5,0.0,230.0,1.0,16.0,3.0,55.0,25.0,1,1.0,1.0,53.131324
67,Strawberry_Fruit_Wheats,N,C,90,2.0,0.0,15.0,3.0,15.0,5.0,90.0,25.0,2,1.0,1.0,59.363993
68,Total_Corn_Flakes,G,C,110,2.0,1.0,200.0,0.0,21.0,3.0,35.0,25.0,3,1.0,1.0,38.839746
69,Total_Raisin_Bran,G,C,140,3.0,1.0,190.0,4.0,15.0,14.0,230.0,25.0,3,1.5,1.0,28.592785
70,Total_Whole_Grain,G,C,100,3.0,1.0,200.0,3.0,16.0,3.0,110.0,25.0,3,1.0,1.0,46.658844
71,Triples,G,C,110,2.0,1.0,250.0,0.0,21.0,3.0,60.0,25.0,3,1.0,0.75,39.106174
72,Trix,G,C,110,1.0,1.0,140.0,0.0,13.0,12.0,25.0,25.0,2,1.0,1.0,27.753301
73,Wheat_Chex,R,C,100,3.0,1.0,230.0,3.0,17.0,3.0,115.0,25.0,1,1.0,0.67,49.787445
74,Wheaties,G,C,100,3.0,1.0,200.0,3.0,17.0,3.0,110.0,25.0,1,1.0,1.0,51.592193
75,Wheaties_Honey_Gold,G,C,110,2.0,1.0,200.0,1.0,16.0,8.0,60.0,25.0,1,1.0,0.75,36.187559
